Gattungslabel_ED_normalisiert,Count,Proportion
Erzählung,187,0.15129449838187703
Kolportage,6,0.0048543689320388345
Märchen (fairy tale),41,0.03317152103559871
Novelle,356,0.28802588996763756
Roman (novel),157,0.12702265372168284
Rubrik: Erzählungen und Novellen,312,0.2524271844660194
other prose fiction,177,0.14320388349514562
Total,1236,1.0
