Medientyp_ED,Count,Proportion
Anthologie,203,0.16437246963562754
Buch,211,0.1708502024291498
Familienblatt,571,0.46234817813765183
Journal,63,0.05101214574898785
Kolportage,6,0.004858299595141701
Rundschau,25,0.020242914979757085
Taschenbuch,151,0.12226720647773279
unknown,5,0.004048582995951417
Total,1235,1.0
