Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00067-00,1820,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,m
00068-00,1820,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,m
00069-00,1820,Drama,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,f
00070-00,1820,Lyrik,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,f
00071-00,1821,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,False,m
00072-00,1821,E,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,False,m
00073-00,1821,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,False,m
00074-00,1821,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,False,m
00075-00,1821,E,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,False,m
00076-00,1822,0E,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,m
00077-00,1822,0P,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,m
00078-00,1822,0P,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,m
00079-00,1822,E,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,
00080-00,1822,N,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,m
00081-00,1822,N,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,False,m
00082-00,1823,E,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,False,m
00083-00,1823,E,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,False,m
00084-00,1823,XE,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,False,m
00086-00,1825,XE,Urania. Taschenbuch auf das Jahr 1826,Taschenbuch,False,m
00087-00,1825,0E,Urania. Taschenbuch auf das Jahr 1826,Taschenbuch,False,m
00088-00,1829,E,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,False,m
00089-00,1829,V ,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,False,
