id,nachname,,titel,untertitel,label,suspense,liebesspannung,rätselspannung,ende,humor,erotik,gewalt,peripetien,strängigkeit,zentr_konflikt,grund,verwechslung,zufall,enthüllung,stadt_land,region,wissen_hist,wissen_wissenschaft,wissen_klassisch,wissen_kunst,wissen_zeitgesch,figurenanzahl,nebenfigurenanazahl,cluster_anzahl,cluster_komplexität,cluster_verknüpfung,adel,familie,figuren_m/w,ökonomisch,gesamt,anm
00616-00,Wildermuth,Ottilie,Marie und Maria.,Novelle von Ottilie Wildermuth.,N,nein,stark,nein,Liebesglück,nein,mittel,nein,2,einsträngig,ja,Suche nach der wahren Liebe bzw. nach dem wahren Wollen,nein,ja,nein,stadt+land,Deutschland,nein,mittel (universitärer Betrieb),nein,nein,nein,10,,2,,gering,Durchmischt,ja,beides,stark,unterhaltend / moralisch,
00625-00,Gerstäcker,Friedrich,Der Polizeiagent.,Erzählung von Friedrich Gerstäcker.,E,mittel,nein,stark,Entsagung/Belehrung,punktuell-humoristisch,mittel,mittel,0,einsträngig,ja,Aufklärung Verbrechen,ja,ja,nein,stadt,Deutschland,nein,nein,nein,nein,mittel,4,ca. 10,2,Stern,gering,nein,nein,m,mittel,unterhaltend,viele Charaktere. aber eher wenige Figuren
00730-00,Bibra,Ernst von,Tupa. das Indianermädchen.,,0PE,stark,gering,gering,Liebesglück,punktuell-humoristisch,gering,mittel,3,einsträngig,ja,Konfrontation verschiedener Völker sowie politischer Gruppierung,nein,nein,ja,stadt+land,Lateinamerika,mittel,nein,nein,nein,mittel,9,ca. 5,1,Stern,,nein,nein,m,gering,unterhaltend. moralisch. enzyklopädisch,belehrender Gestus (verschiedene wissenschaftliche Exkurse (Autor Naturwissenschaftler))
00617-00,Camphausen,Wilhelm,Ein Maler auf dem Kriegsfelde.,,0PE,nein,nein,nein,,punktuell-humoristisch,nein,stark,0,einsträngig,ja,Deutsch-Dänischer Krieg 1864,nein,nein,nein,land,Deutschland,mittel,nein,nein,nein,stark,1,5,1,Stern,,Durchmischt,nein,m,nein,enzyklopädisch. politisch,kein Spannungsbogen; stattdessen um Sachlichkeit bemühte Beschreibung des deutsch-dänischen Krieges aus der Sicht eines Kriegsmalers -> Anstreben von Realitätsnähe
00731-00,Hesekiel,George,Fräulein Juliane Ludovike.,Aus vergangenen Tage von George Hesekiel.,0PE,nein,mittel,nein,Liebesglück,nein,nein,mittel,1,1 Haupt- und 1 Hintergrundhandlung,nein,,ja,ja,ja,stadt+land,Deutschland,stark,nein,nein,nein,nein,7,ca. 3,2,,mittel,Durchmischt,ja,w,nein,unterhaltend,sehr kurze Erzählung; nicht ganz klar. was sie eigentlich will
00732-00,Strauß,Victor von,Der Glückschmied.,Ein Märchen für die Weihnachtsfeiertage von Victor v. Strauß.,M,mittel,mittel,mittel,Liebesglück. Belehrung,nein,nein,stark,2,einsträngig,ja,Initiation des Sohnes,nein,nein,ja,land,,nein,nein,nein,nein,nein,8,2,2,,gering,Durchmischt,ja,m,stark,unterhaltend. moralisch,
00733-00,Rosen,Ludwig,Die Frauenschlacht auf Borkum.,Geschichtliche Novelle von Ludwig Rosen.,N,stark,stark,nein,Liebesglück,nein,gering,mittel,2,einsträngig,nein,,nein,nein,nein,land,Deutschland,nein,gering (Nautik),nein,nein,nein,5,ca. 15,2,,mittel,nein,nein,m,mittel,unterhaltend. moralisch. historisch,
00734-00,Schücking,Levin,Der Erbstreit.,Von Levin Schücking.,0PE,nein,stark,mittel,Liebesglück,nein,nein,nein,2,1 Haupt- und 1 Hintergrundhandlung,ja,verhinderte Liebe,ja,nein,nein,land,,nein,mittel (Mineralogie),nein,nein,stark (Stellung der Frau),5,ca. 3,1,Alle mit allen,,Durchmischt,ja,m,stark,unterhaltend. enzyklopädisch,pol. Schlagrichtung (Diskussion der Rolle der Frau)
00735-00,Marcotin,H.,Künstlers Leid und Freud.,Novelle von H. Marcotin.,N,stark,stark,mittel,Liebesglück/tragisch/Entsagung,punktuell-humoristisch/satirisch,gering,mittel,1,episodisch,ja,Verhinderung des wahren Glücks durch Fokusierung auf wirtschaftliche Gegebenheiten,nein,nein,nein,stadt,Deutschland,nein,nein,mittel,mittel,nein,6,ca. 7,3,,stark,durchmischt,ja,beides,stark,unterhaltend. moralisch,starke Kritik am Kaufmannsleben bzw. an der Fokusierung auf ökonomische Gegebenheiten
00484-00,Rosenthal-Bonin,,Der Student von Salamanca,,N,,stark,nein,,,,,,,,,,,,stadt,Spanien,nein,nein,nein,nein,,,,,,,,,,,,
00085-00,o.n.,,Fabio und Bibiana,,0E,stark,gering,nein,tragisch,nein,nein,stark,1,einsträngig,ja,Gefangennahme und scheiternde Selbstbefreiung,nein,nein,nein,land,Italien,nein,nein,nein,nein,nein,3,1,1,Alle mit allen,,nein,nein,beides,nein,splatter,eine Schock-Erzählung
00746-00,Regenstein,Charlotte,Eleonore,Italien,R,stark,stark,nein,tragisch. Liebesglück,nein,nein,wenig,3,einsträngig,ja,Freiheit vs. Individuum,nein,nein,nein,stadt+land,Deutschland,nein,nein,nein,nein,stark (Stellung der Frau),6,ca. 5,2,,mittel,durchmischt,ja,beides,stark,moralisch. unterhaltend. politisch,
00748-00,Goltz,Colmar von der,Leiden und Freuden des Kartographen,,0PE,nein,kaum,nein,,satirisch. punktuell-humoristisch,nein,nein,1,Bruch in der Narration zu faktualer Wissenswiedergabe,nein,,nein,nein,nein,stadt+land,Deutschland,nein,stark (Kartographie),nein,nein,gering (Verflechtung von Militär und Kartographie),1,ca. 3,/,,,nein,nein,m,nein,unterhaltend. politisch. enzyklopädisch,
00163-00,Hoffmann,E. T. A. ,Der Einsiedler Serapion,,0E,nein,nein,gering,Erkenntnis,nein,nein,nein,1,einsträngig,nein,,nein,nein,nein,land,Deutschland,gering,gering  ,mittel,nein,nein,2,ca. 2,1,Alle mit allen,,nein,nein,männlich,nein,Reflexion über Wahnsinn,
00303-00,Hoffmann,E. T. A. ,Die Fermate,,0E,nein,mittel,nein,Erkenntnis,gering,gering,nein,1,mehrsträngig (frühe Haupthandlung. spätere Wiederbegegnung),nein,,nein,nein,nein,stadt+land,Italien,nein,nein,gering,stark (Musik. Malerei),gering,3,ca. 10,2,,mittel,nein,nein,beides,nein,Kunst und Liebe,
00424-00,Hoffmann,E. T. A. ,Der unheimliche Gast,,E,stark,stark,stark,LIebesglück,nein,nein,mittel,>3,mehrsträngig (Rahmen- und Binnenhandlungen),ja (2),Kampf um die Frau. Besiegen des bösen Magnetiseurs,ja,nein,ja,stadt+land,Frankreich,nein,gering,nein,nein,mittel (napoleonische Kriege),3,ca. 10,3,,mittel,durchmischt,nein,beides,nein,Spukgeschichte,
00300-00,Hoffmann,E. T. A.,Der Dichter und der Komponist,,0E,nein,nein,nein,Freundschaftliche Rührung,nein,nein,nein,0,zweisträngig (Rahmenhandlung und Binnendiskussion,nein,,nein,nein,nein,stadt,Deutschland,gering,nein,nein,"stark (Musik, Dichtung)",mittel (napoleonische Kriege),2,0,1,Alle mit allen,,nein,nein,männlich,nein,Reflexion des Verhältnisses von Operntext und Musik,"keine Erzählung, sondern ein Dialog, der in den Kontext des Kriegszustands eingebettet ist"
00105-00,Streckfuß,Carl,Liebesprobe,Novelle nach einem aliitaliänischen Manuscripte von Carl Streckfuß,N,mittel,stark,nein,tragisch,nein,gering,mittel,2,einsträngig,ja,Verwehrung des Liebesglückes,nein,nein,nein,land,Italien,nein,nein,nein,nein,nein,4,0,1,Stern,,durchmischt,ja,beides,nein,unterhaltend,Erzählweise märchenhaft anmutend (Textaufbau entspricht einer Sage)
00749-00,,,Die alte Muhme,,0PE,mittel,stark,mittel,Liebesglück,nein,mittel,wenig,1,1 Haupt- und 1 Hintergrundhandlung,nein,,nein,ja,ja,land,,nein,nein,nein,nein,nein,5,2,1,Alle mit allen,,durchmischt,ja,männlich,ja,unterhaltend,leichte Unterhaltung
00723-00,Hoffmann,E. T. A.,Die Bergwerke zu Falun,,E,mittel,mittel,nein,tragisch,nein,nein,nein,2,einsträngig,ja,"Geheimnis der Unergründlichkeit des Inneren, dort ein Konflikt zwischen Liebe und Aufgabe",,nein,nein,land,Schweden,gering,ja,nein,nein,nein,4,ca. 5,2,Alle mit allen,mittel,nein,nein,beides,ja,Italien,Italien
