id,nachname,,titel,untertitel,label,suspense,liebesspannung,rätselspannung,ende,humor,erotik,gewalt,peripetien,strängigkeit,zentr_konflikt,grund,verwechslung,zufall,enthüllung,stadt_land,region,wissen_hist,wissen_wissenschaft,wissen_klassisch,wissen_kunst,wissen_zeitgesch,figurenanzahl,nebenfigurenanazahl,cluster_anzahl,cluster_komplexität,cluster_verknüpfung,adel,familie,figuren_m/w,ökonomisch,gesamt,anm
00196-00,o.N. ,o.N.,Verbrechen und Strafe,Novelle. Aus dem Ungarischen frei bearbeitet nach Kisfaludy.,N,stark,mittel,nein,tragisch(?),,,,2,einsträngig,ja,Schuld und Untergang eines Tyrannen,nein,ja,ja,land,Ungarn,nein,nein,nein,,nein,5,,1,Alle mit allen,,Durchmischt,ja,männlich,mittel,moralisch. tragisch,
00197-00,Krudener,Frau von,Albert und Clara,eine Erzählung. frei bearbeitet nach der französischen. noch ungedruckten Urschrift der Frau von Krudener.,E,stark,stark,nein,tragisch,,,,2,einsträngig,ja,Liebe vs. Patriotismus,nein,nein,ja,stadt+land,Schweiz,nein,nein,nein,,mittel,4,,1,Alle mit allen,,Nein,ja,männlich,stark,politisch. ästhetisch-philosophisch. tragisch,Der Text besteht aus einer großen Binnenerzählung der vergangenen Geschehnisse
00597-00,o.N.,o.N.,Bug Jargal,Italien,E,stark,mittel,gering,tragisch,,,,2,1 Haupt- und 1 Hintergrundhandlung,ja,Liebe vs. Kampf gegen Ungerechtigkeit der Sklaverei,ja,nein,ja,land,Lateinamerika,stark,nein,nein,,nein,6,,2,,gering,Durchmischt,ja,männlich,gering,historisch. tragisch,
00310-00,Kleist,Heinrich von,Die Verlobung,,0E,stark,stark,nein,tragisch,,,,2,1 Haupt- und 1 Hintergrundhandlung,ja (3),Verrat+Loyalität vs. Liebe+Aufrichtigkeit bei Toni / Vertrauen vs. Misstrauen bei Gustav,nein,ja,nein,land,Lateinamerika,gering,nein,nein,,gering,10,,2,Alle mit allen,gering,nein,nein,beides,gering,moralisch. tragisch,Hauptcluster stark über Toni und Babekan verbunden
00040-00,Hauff,Wilhelm,Jud Süß,,N,mittel,mittel,nein,tragisch (schwach),,,,1,mehrsträngig,ja (2),unmögliche Liebe. Staatsstreich,nein,ja: Staatsstreich erübrigt sich durch plötzlichen Tod des Herzogs,nein,None,Deutschland,stark,nein,nein,,mittel,7,,2,,gering,kaum,ja,männlich,mittel (stärker: staatsökonomie),moralisch. tragisch. politisch.,
00036-00,o.N.,o.N.,Das Vermächtniß des Freundes,,0E,mittel,stark,,tragisch,nein,,,>3,1 Haupt- und 1 Hintergrundhandlung,ja (2),a) unmögliche Liebe. mehrfach: Intrigen. Konkurrenz. politische Überzeugungen. dann aber: religilöses Ausschlusskriterium. b) politischer Kampf,nein,ja (unmotiviert),nein,stadt+land,Italien,mittel,nein,nein,,mittel,11,,2,,gering,kaum,ja,beides,gering,moralisch. tragisch. politisch. religiös,
00181-00,,,Alexis und Natalie,,0E,stark,stark,gering,nein,,,,1,1 Haupt- und 1 Hintergrundhandlung,ja,verhinderte/erschwerte Liebe kirchlich und politisch institutionell legitimieren. ungerechte Ächtung,ja: Verkleidung ,nein,ja,land,Russland,gering,nein,nein,,nein,6,,2,,,ja,ja,beides,nein,Liebesgeschichte. religiös. nationalistisch und heldenideologisch legitimiert,
00596-00,nach Thaddäus,,Esther,,N,stark (aber technisch ungeschckt und voreilig aufgelöst),mittel,mittel,Liebesglück,,,,1,einsträngig,ja,gefährdete Liebe. ungerechte Verbannung des Helden. Unterdrückung der Juden.,ja: Identität des Retters wird verspätet preisgegeben,nein,ja,None,Polen,gering,nein,nein,,nein,6,,3,,gering,ja,nein,beides,nein,Liebesgeschichte. Helden. Spannung/Unterhaltung. von 2 Kirchen/Religionen gefähredet: Katholische Kirche als Institution. Jüdische Gemeinschaft als dämonische Bedrohung; Räuberbande als faktische Bedrohung.,
00598-00,o.N.,o.N.,Johann von Tenczyn,Italien,E,stark,stark,mittel,tragisch,,,,2,einsträngig,ja,Umgang mit Schicksal nach Prophezeiung,nein,ja,ja,stadt+land,Polen,mittel,nein,nein,,nein,11,,2,,gering,Ja. hoher Adel,ja,männlich,nein,historisch. tragisch,
00610-00,Hanisch,Carl,Der Herr Vetter,Erzählung von Carl Hanisch,E,gering,stark,nein,nein,,,,1,einsträngig,ja,Liebe eines armen Mannes zur Tochter eines reichen Verwandten,nein,nein,ja,stadt+land,Deutschland,nein,nein,nein,,nein,6,,1,Stern,,nein,ja,männlich,stark,unterhaltend. moralisch,
00607-00,o.N.,o.N.,Der indische Selbstmörder,Nach dem Englischen,0PE,stark,nein,nein,tragisch,,,,0,einsträngig,nein,,nein,nein,ja,land,Nordamerika,nein,nein,nein,,mittel,2,,1,Alle mit allen,,nein,nein,männlich,nein,tragisch. moralisch,Ein klassischer Konflikt besteht nicht. Stattdessen wird der bereits gefällte Entschluss zum Suizid begründet
00606-00,o.N.,o.N.,Amalie Laurier,Mehr Wahrheit als Dichtung,0PE,stark,stark,nein,tragisch,,,,1,einsträngig,ja,Entscheidung zwischen zwei Liebesmodellen,nein,nein,ja,stadt+land,Italien,nein,nein,nein,,stark,7,,1,Stern,,Ja. hoher Adel,nein,männlich,nein,tragisch. moralisch,
00609-00,o.N.,o.N.,Die Räuberschenke,Erzählung. frei bearbeitet nach dem Englischen des Thomas Hood,E,stark,nein,gering,tragisch,,,,1,einsträngig,nein,,ja,ja,ja,land,Spanien,nein,nein,nein,,nein,6,,1,Alle mit allen,,nein,ja,männlich,ja,unterhaltend. tragisch,
00608-00,o.N.,o.N.,Jocko.,Eine indianische Erzählung. Aus dem Französischen frei bearbeitet nach C. Pougens.,E,stark,nein,nein,nein (?),,,,0,einsträngig,nein,,nein,ja,ja,land,Karibik,nein,nein,nein,,nein,7,,1,Alle mit allen,,Durchmischt,nein,männlich,nein,unterhaltend,
00181-00,Dmitrijew (erschienen o.N.),Ivan Iwanowitsch,Alexis und Natalie.,Aus dem Russischen frei bearbeitet. nach Karamsin,0PE,mittel,mittel,stark,nein,,,,2,episodisch,nein,,ja Verkleidung + durch Alterung nicht wiedererkannt,ja,ja,stadt+land,Russland,gering,nein,nein,,nein,6,,1,Alle mit allen,,Ja. niederer Adel,ja,beides,nein,unterhaltend,
00072-00,Mosengeil,Friedrich,Sieg der Kunst. des Künstlers Lohn,Prosaische Erzählung,E,mittel,stark,mittel (aber aber immer nur kurzfristig),Liebesglück,nein,,,2,einsträngig,ja ,Problem des falschen. weil unwürdigen und verbrecherischen Ehemanns. daraus folgende tragische Konsequenzen und die Frage. ob sie den Richtigen bekommt.,nein,nein (alle Zufälle werden als arrangiert motiviert),ja (ein Bericht Lorenzos enttarnt Stefano als Verbrecher gegenüber Clementine),stadt+land,Deutschland,nein,nein,nein,stark,nein,9,,1,Stern,,nein,ja,beides,stark,moralisch. Kunstreflexion,"Konfliktsituation ähnlich wie bei Clauren ""Hochmut. Verzeweiflung ..."". Ausgangspunkt Gemälde ähnlich wie bei Storms ""Aquis submersus""."
00016-00,Tieck,,Eckebert,,M,stark,nein,gering,schauer,,,mittel,2,zweisträngig,,,ja,,,land,,nein,nein,nein,,nein,4,,2,,,,,beides,,schauer,
00018-00,Tieck,,Die Gemälde,,N,gering,mittel,mittel,Liebesglück,gering,,,,,,,,,,None,,,,,,,,,,,,,,,,,
00020-00,Tieck,,Die Gesellschaft auf dem lande,,N,,mittel,,Liebesglück,mittel,,,,,,,,,,None,,,,,,,,,,,,,,,,,
00022-00,Tieck,,Des Lebens Überfluß,,N,mittel,mittel,mittel,Liebesglück,stark,,,2,einsträngig,ja,Überleben in der Isolation,nein,ja,,stadt,,nein,nein,nein,gering,nein,4,,1,Stern,,nein,,beides,mittel,Italien,
00023-00,Tieck,,Peter Lebrecht,,,nein,nein,nein,unbestimmt,mittel,,,,,,,,,,None,,,,,,,,,,,,,,,,,
00024-00,Tieck,,Siegmunds Leben,,,nein,gering,mittel,Erkenntnis,gering,,,,,,,,,,None,,,,,,,,,,,,,,,,Schwärmerkur,
00032-00,Tieck,,Runenberg,,,nein,gering,gering,Scheitern,nein,ja,,,,ja,bürgerliches versus individuelles Leben,,,,land,Alpen,nein,nein,nein,nein,nein,5,,3,Stern,,nein,nein,männlich,mittel,allegorisch: Leben für die Kunst als nicht-bürgerliches Leben,
00035-00,Tieck,,Liebeszauber,,,mittel,mittel,nein,schauer,nein,,mittel,,,,,,,,None,,,,,,,,,,,,,,,,schauer,
00042-00,Goethe,,Melusine,,,nein,mittel,mittel,Scheitern,gering,,,1,einsträngig,,,,,,None,unbestimmt,,,,,,,,,,,,,,,,
